GLOBAL ID,SAMP DATE,SAMP TIME,ANALYSIS DATE,QCCODE,MATRIX,FIELD PT NAME,SAMP ID,METHOD,PARAMETER,PARAMETER NAME,PARVQ,VALUE,RL,MDL,UNITS,RL NOTE
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,=,38,2,2,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,ND,2,2,2,NG/L,U
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,=,94.5,4.5,4.5,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,11ClPF3OUDS,11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid,=,100,4.49,4.49,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,88.5,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,94.6,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,91.4,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,13C2-PFOA,Perfluoro-n-[13C2] octanoic acid,IN,93.1,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,IN,57.3,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,IN,58.5,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,IN,60.1,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,13C2PFDOA,13C2 Perfluorododecanoic acid,IN,63.2,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,13C2PFHA,13C2 Perfluorohexanoic acid,IN,85.6,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,13C2PFHA,13C2 Perfluorohexanoic acid,IN,76.2,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,13C2PFHA,13C2 Perfluorohexanoic acid,IN,80.2,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,13C2PFHA,13C2 Perfluorohexanoic acid,IN,81.2,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,13C2PFNDCA,13C2 Perfluorodecanoic acid,IN,88.4,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,13C2PFNDCA,13C2 Perfluorodecanoic acid,IN,92.6,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,13C2PFNDCA,13C2 Perfluorodecanoic acid,IN,79.1,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,13C2PFNDCA,13C2 Perfluorodecanoic acid,IN,78.9,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,IN,57.8,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,IN,63,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,IN,64.1,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,13C2PFTEDA,13C2 Perfluorotetradecanoic acid,IN,63.7,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,13C2PFUNDCA,13C2 Perfluoroundecanoic acid,IN,65.9,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,13C2PFUNDCA,13C2 Perfluoroundecanoic acid,IN,64.5,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,13C2PFUNDCA,13C2 Perfluoroundecanoic acid,IN,68.2,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,13C2PFUNDCA,13C2 Perfluoroundecanoic acid,IN,67.7,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,IN,85.8,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,IN,89.6,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,IN,85.4,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,13C3-HFPO-DA,13C3-Hexafluoropropylene oxide dimer acid,IN,90.9,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,13C3-PFBS_A,13C3-Perfluorobutane sulfonic acid,IN,96.5,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,13C3-PFBS_A,13C3-Perfluorobutane sulfonic acid,IN,94.7,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,13C3-PFBS_A,13C3-Perfluorobutane sulfonic acid,IN,92.2,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,13C3-PFBS_A,13C3-Perfluorobutane sulfonic acid,IN,85.5,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,13C3-PFHXS_A,13C3-Perfluorohexane sulfonic acid,IN,76.1,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,13C3-PFHXS_A,13C3-Perfluorohexane sulfonic acid,IN,77.4,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,13C3-PFHXS_A,13C3-Perfluorohexane sulfonic acid,IN,76.7,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,13C3-PFHXS_A,13C3-Perfluorohexane sulfonic acid,IN,75.2,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,13C3-PFPEA,"Perfluoro-n-[1,2,3,- 13C3]pentanoic acid",IN,84,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,13C3-PFPEA,"Perfluoro-n-[1,2,3,- 13C3]pentanoic acid",IN,88,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,13C3-PFPEA,"Perfluoro-n-[1,2,3,- 13C3]pentanoic acid",IN,87.6,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,13C3-PFPEA,"Perfluoro-n-[1,2,3,- 13C3]pentanoic acid",IN,83.7,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,13C4PFBTA,13C4 Perfluorobutanoic acid,IN,117,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,13C4PFBTA,13C4 Perfluorobutanoic acid,IN,117,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,13C4PFBTA,13C4 Perfluorobutanoic acid,IN,108,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,13C4PFBTA,13C4 Perfluorobutanoic acid,IN,101,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,13C4PFHPA,13C4Perfluoroheptanoic acid,IN,71,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,13C4PFHPA,13C4Perfluoroheptanoic acid,IN,78.5,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,13C4PFHPA,13C4Perfluoroheptanoic acid,IN,75.1,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,13C4PFHPA,13C4Perfluoroheptanoic acid,IN,81.7,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,13C5PFNA,13C5 Perfluorononanoic acid,IN,68.5,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,13C5PFNA,13C5 Perfluorononanoic acid,IN,77.8,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,13C5PFNA,13C5 Perfluorononanoic acid,IN,78.2,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,13C5PFNA,13C5 Perfluorononanoic acid,IN,80.2,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,13C8-PFOS_A,13C8-Perfluorooctane sulfonic acid,IN,73.1,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,13C8-PFOS_A,13C8-Perfluorooctane sulfonic acid,IN,73.3,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,13C8-PFOS_A,13C8-Perfluorooctane sulfonic acid,IN,76.9,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,13C8-PFOS_A,13C8-Perfluorooctane sulfonic acid,IN,80,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,13C8PFOSA,13C8 Perfluorooctane sulfonamide,IN,46.2,,,PERCENT,H
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,13C8PFOSA,13C8 Perfluorooctane sulfonamide,IN,44.2,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,13C8PFOSA,13C8 Perfluorooctane sulfonamide,IN,61,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,13C8PFOSA,13C8 Perfluorooctane sulfonamide,IN,58.9,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,ND,2,2,2,NG/L,U
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,=,91.1,4.5,4.5,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,=,83.4,4.49,4.49,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,4:2FTS,4:2 Fluorotelomer sulfonic acid,=,34.7,2,2,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,6:2FTS,6:2 Fluorotelomer sulfonic acid,ND,2,2,2,NG/L,U
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,6:2FTS,6:2 Fluorotelomer sulfonic acid,=,92.3,4.5,4.5,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,6:2FTS,6:2 Fluorotelomer sulfonic acid,=,94.6,4.49,4.49,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,6:2FTS,6:2 Fluorotelomer sulfonic acid,=,48.4,2,2,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,8:2FTS,8:2 Fluorotelomer sulfonic acid,ND,2,2,2,NG/L,U
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,8:2FTS,8:2 Fluorotelomer sulfonic acid,=,77,4.49,4.49,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,8:2FTS,8:2 Fluorotelomer sulfonic acid,=,87.5,4.5,4.5,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,8:2FTS,8:2 Fluorotelomer sulfonic acid,=,41,2,2,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,ND,2,2,2,NG/L,U
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,=,93.3,4.49,4.49,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,=,93.3,4.5,4.5,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,9ClPF3ONS,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid,=,36.3,2,2,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",ND,2,2,2,NG/L,U
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",=,96.3,4.5,4.5,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",=,91.7,4.49,4.49,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",=,35.5,2,2,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,D3-MEFOSA,N-methyl-d3-perfluoro-1-octane sulfonamide,IN,19.2,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,D3-MEFOSA,N-methyl-d3-perfluoro-1-octane sulfonamide,IN,20.5,,,PERCENT,H
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,D3-MEFOSA,N-methyl-d3-perfluoro-1-octane sulfonamide,IN,20,,,PERCENT,H
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,D3-MEFOSA,N-methyl-d3-perfluoro-1-octane sulfonamide,IN,27.3,,,PERCENT,H
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,D5-ETFOSA,N-ethyl-d5-perfluoro-1-octanesulfonamide,IN,18.8,,,PERCENT,H
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,D5-ETFOSA,N-ethyl-d5-perfluoro-1-octanesulfonamide,IN,25.7,,,PERCENT,H
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,D5-ETFOSA,N-ethyl-d5-perfluoro-1-octanesulfonamide,IN,19.1,,,PERCENT,H
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,D5-ETFOSA,N-ethyl-d5-perfluoro-1-octanesulfonamide,IN,19.2,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,D7-MEFOSE,N-methyl-d7-perfluorooctane sulfonamido ethanol,IN,46,,,PERCENT,H
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,D7-MEFOSE,N-methyl-d7-perfluorooctane sulfonamido ethanol,IN,32.7,,,PERCENT,H
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,D7-MEFOSE,N-methyl-d7-perfluorooctane sulfonamido ethanol,IN,33.2,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,D7-MEFOSE,N-methyl-d7-perfluorooctane sulfonamido ethanol,IN,45.3,,,PERCENT,H
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,D9-ETFOSE,N-ethyl-d9-perfluorooctane sulfonamido ethanol,IN,36.5,,,PERCENT,H
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,D9-ETFOSE,N-ethyl-d9-perfluorooctane sulfonamido ethanol,IN,36.6,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,D9-ETFOSE,N-ethyl-d9-perfluorooctane sulfonamido ethanol,IN,49.5,,,PERCENT,H
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,D9-ETFOSE,N-ethyl-d9-perfluorooctane sulfonamido ethanol,IN,49.3,,,PERCENT,H
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,ETFOSA,N-Ethyl perfluorooctane sulfonamide,=,419,22.4,22.4,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,ETFOSA,N-Ethyl perfluorooctane sulfonamide,=,189,10,10,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,ETFOSA,N-Ethyl perfluorooctane sulfonamide,=,453,22.5,22.5,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,ETFOSA,N-Ethyl perfluorooctane sulfonamide,ND,10,10,10,NG/L,U
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,ETFOSE,N-Ethyl perfluorooctane sulfonamidoethanol,=,459,22.5,22.5,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,ETFOSE,N-Ethyl perfluorooctane sulfonamidoethanol,=,448,22.4,22.4,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,ETFOSE,N-Ethyl perfluorooctane sulfonamidoethanol,ND,10,10,10,NG/L,U
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,ETFOSE,N-Ethyl perfluorooctane sulfonamidoethanol,=,203,10,10,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,HFPO-DA,Hexafluoropropylene oxide dimer acid,ND,2.5,2.5,2.5,NG/L,U
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,HFPO-DA,Hexafluoropropylene oxide dimer acid,=,83.5,5.63,5.63,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,HFPO-DA,Hexafluoropropylene oxide dimer acid,=,92.1,5.61,5.61,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,HFPO-DA,Hexafluoropropylene oxide dimer acid,=,38.1,2.5,2.5,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,M2-4:2FTS,"Sodium 1H,1H,2H,2H-perfluoro-1-[1,2-13C2 ] hexane sulfonate (4:2)",IN,75.9,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,M2-4:2FTS,"Sodium 1H,1H,2H,2H-perfluoro-1-[1,2-13C2 ] hexane sulfonate (4:2)",IN,78.2,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,M2-4:2FTS,"Sodium 1H,1H,2H,2H-perfluoro-1-[1,2-13C2 ] hexane sulfonate (4:2)",IN,70.3,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,M2-4:2FTS,"Sodium 1H,1H,2H,2H-perfluoro-1-[1,2-13C2 ] hexane sulfonate (4:2)",IN,81.6,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,M2-6:2FTS,"6:2 Sodium 1H,1H,2H,2H-perfluoro-1-[1,2-13C2] octane sulfonate",IN,72.8,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,M2-6:2FTS,"6:2 Sodium 1H,1H,2H,2H-perfluoro-1-[1,2-13C2] octane sulfonate",IN,83.7,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,M2-6:2FTS,"6:2 Sodium 1H,1H,2H,2H-perfluoro-1-[1,2-13C2] octane sulfonate",IN,91.5,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,M2-6:2FTS,"6:2 Sodium 1H,1H,2H,2H-perfluoro-1-[1,2-13C2] octane sulfonate",IN,82.4,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,M2-8:2FTS,"8:2 Sodium 1H,1H,2H,2H-perfluoro-1-[1,2-13C2] decane sulfonate",IN,70.8,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,M2-8:2FTS,"8:2 Sodium 1H,1H,2H,2H-perfluoro-1-[1,2-13C2] decane sulfonate",IN,72.9,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,M2-8:2FTS,"8:2 Sodium 1H,1H,2H,2H-perfluoro-1-[1,2-13C2] decane sulfonate",IN,108,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,M2-8:2FTS,"8:2 Sodium 1H,1H,2H,2H-perfluoro-1-[1,2-13C2] decane sulfonate",IN,76.9,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,MEFOSA,N-Methyl perfluorooctane sulfonamide,=,424,22.5,22.5,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,MEFOSA,N-Methyl perfluorooctane sulfonamide,=,205,10,10,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,MEFOSA,N-Methyl perfluorooctane sulfonamide,ND,10,10,10,NG/L,U
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,MEFOSA,N-Methyl perfluorooctane sulfonamide,=,429,22.4,22.4,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,=,208,10,10,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,=,462,22.4,22.4,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,ND,10,10,10,NG/L,U
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,=,484,22.5,22.5,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,ND,2,2,2,NG/L,U
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,=,61.6,4.49,4.49,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,=,94.5,4.5,4.5,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,=,36.4,2,2,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,NETFOSAAD5,N-Ethyl perfluorooctane sulfonamidoacetic acid-d5,IN,70.5,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,NETFOSAAD5,N-Ethyl perfluorooctane sulfonamidoacetic acid-d5,IN,72.9,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,NETFOSAAD5,N-Ethyl perfluorooctane sulfonamidoacetic acid-d5,IN,89,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,NETFOSAAD5,N-Ethyl perfluorooctane sulfonamidoacetic acid-d5,IN,77.6,,,PERCENT,
WDR100001153,10/14/2020,643,10/16/2020,MS1,WQ,PW,6491002,QSMPFAS,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,=,99.3,4.49,4.49,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,SD1,WQ,PW,6491002,QSMPFAS,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,=,84.1,4.5,4.5,NG/L,
WDR100001153,10/14/2020,643,10/16/2020,LB1,WQ,,Method Blank,QSMPFAS,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,ND,2,2,2,NG/L,U
WDR100001153,10/14/2020,643,10/16/2020,BS1,WQ,,OPR,QSMPFAS,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,=,44.6,2,2,NG/L,
